Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
MEC,9,5.263,0.45,Strong Buy,1231322,180534600,163.559,0.059,2600,Producer Manufacturing
MED,163.79,0.658,1.07,Buy,3084745,1927071245,27.14,6.499,550,Consumer Services
MEDP,113.015,-12.925,-16.78,Buy,10789332,4001646422,40.056,2.971,3500,Commercial Services
MEDS,4.99,-14.408,-0.84,Sell,310595,40247693,,-0.117,29,Commercial Services
MEG,23.54,-16.495,-4.65,,5464774,587450116,,,1730,Commercial Services
MEI,23.99,-15.26,-4.32,Sell,3950300,900337503,8.168,3.077,6044,Electronic Technology
MEIP,3.08,13.235,0.36,Buy,18538516,346567760,,-0.509,51,Health Technology
MELI,1020.96,-12.633,-147.63,Buy,10172708,50751921600,,-3.324,9703,Technology Services
MEOH,22.9,2.921,0.65,Sell,6158443,1744890690,,-0.581,1544,Process Industries
MERC,6.51,-22.315,-1.87,Sell,4462243,428801331,,-1.269,2325,Process Industries
MESA,3.01,-17.76,-0.65,Sell,6724121,106597043,3.871,0.808,3576,Transportation
MET,36.09,-6.162,-2.37,Sell,97491062,32757557670,4.8,7.75,49000,Finance
METC,3.15,4.305,0.13,Sell,1607593,134258985,11.761,0.291,395,Energy Minerals
METX,7.48,-20.426,-1.92,,659780,398630144,,,,Commercial Services
MFAC,10.25,0.098,0.01,Buy,1292982,76129026,128.75,0.08,3,Finance
MFAC.U,11,2.804,0.3,Buy,4541,81699442,,,3,Finance
MFC,13.58,-7.932,-1.17,Sell,37155665,26337866800,9.688,1.435,35000,Finance
MFIN,2.57,-5.166,-0.14,Sell,1188712,63778148,,-0.537,191,Finance
MFNC,9.14,-8.782,-0.88,Sell,275570,96277104,7.747,1.265,314,Finance
MG,3.78,-20.588,-0.98,Sell,3334270,110037312,,-3.357,5500,Industrial Services
MGA,44.19,-9.093,-4.42,Sell,13141542,13196194560,,-0.681,165000,Producer Manufacturing
MGEE,60.48,-6.94,-4.51,Sell,1860997,2187162432,23.301,2.646,731,Utilities
MGEN,0.7753,-16.265,-0.15,Sell,12837433,43889888,,-0.972,46,Health Technology
MGI,2.68,-8.219,-0.24,Sell,18587437,194231526,,-0.593,2252,Commercial Services
MGIC,12.555,-16.3,-2.45,Buy,867670,614907491,29.367,0.443,2642,Technology Services
MGLN,71.16,-5.698,-4.3,Buy,2156668,1801088064,12.531,5.783,10100,Health Services
MGM,21.38,-4.978,-1.12,Sell,265263641,10546347780,5.687,3.834,70000,Consumer Services
MGNI,6.3,-14.286,-1.05,Sell,38740593,694581300,,-0.625,444,Commercial Services
MGNX,24.72,-14.582,-4.22,Buy,11950286,1337777184,,-3.383,384,Health Technology
MGPI,38.52,8.354,2.97,Sell,2543278,651500316,16.93,2.308,341,Process Industries
MGRC,57.95,-12.673,-8.41,Sell,1712644,1395615645,14.172,4.19,1099,Finance
MGTA,6.73,-7.428,-0.54,Sell,4114663,324740671,,-2.125,72,Health Technology
MGTX,12.29,-5.534,-0.72,Sell,2514747,459190041,,-1.566,157,Health Technology
MGY,5.15,-20.031,-1.29,Sell,28703898,1299777600,,-7.372,45,Energy Minerals
MGYR,8.2,2.372,0.19,Sell,49919,47648150,22.967,0.376,110,Finance
MHH,18.34,-0.865,-0.16,Buy,434540,208685358,23.459,0.814,1745,Commercial Services
MHK,94.7,2.567,2.37,Sell,8979597,6742166500,14.4,6.718,41800,Consumer Durables
MHLD,1.19,-6.299,-0.08,Sell,967941,100815372,,-0.607,53,Finance
MHO,42.37,-0.446,-0.19,Buy,4134410,1209392332,7.88,5.854,1401,Consumer Durables
MIC,26.3,-6.138,-1.72,Sell,13442632,2288665450,29.98,0.904,3379,Finance
MICT,3.85,-17.382,-0.81,Buy,12867555,212228555,,-0.327,44,Electronic Technology
MIDD,91.99,-6.037,-5.91,Sell,13117873,5116272223,17.979,5.149,9778,Producer Manufacturing
MIK,10.345,-8.044,-0.91,Neutral,91736832,1525246110,11.394,0.942,44000,Retail Trade
MIME,46.185,-6.204,-3.06,Buy,12542004,2923071743,613.403,0.079,1800,Technology Services
MIND,2.04,-18.4,-0.46,Sell,1056084,24851688,,-1.587,232,Industrial Services
MIRM,18.4,-29.122,-7.56,Buy,1497774,467343440,,-3.228,33,Health Technology
MIST,7.71,-0.388,-0.03,Sell,3451066,190514871,,-2.463,30,Health Technology
MITK,12.8,0.867,0.11,Buy,7881750,528488960,86.058,0.15,284,Technology Services
MKC,185.49,-10.044,-20.71,Buy,9092878,24711426686,34.634,5.609,12400,Consumer Non-Durables
MKC.V,187.6,-8.174,-16.7,Buy,33617,24992525992,34.67,5.609,12400,Consumer Non-Durables
MKGI,2.07,-22.472,-0.6,Sell,788850,27700326,,-0.825,12,Commercial Services
MKL,951.13,-12.486,-135.7,Sell,722872,13104478914,63.585,15.517,18600,Finance
MKSI,107.61,-9.972,-11.92,Buy,6390704,5932033533,25.669,4.236,5500,Electronic Technology
MKTX,449.46,-7.507,-36.48,Buy,3793663,17066760282,64.739,7.061,527,Finance
MLAB,234.43,-4.672,-11.49,Neutral,685825,1196401784,,-0.481,460,Health Technology
MLAC,9.8,0.927,0.09,,1124373,,,,,Finance
MLHR,29.86,25.304,6.03,Sell,46008239,1757891046,129.593,0.258,7600,Producer Manufacturing
MLI,26.26,-11.582,-3.44,Sell,4002431,1491355294,12.966,2.107,4964,Producer Manufacturing
MLM,220,8.444,17.13,Buy,11037144,13699158000,22.248,9.974,8846,Non-Energy Minerals
MLND,1.53,-15.47,-0.28,Sell,4386777,29069541,,-2.95,38,Health Technology
MLP,10.35,-11.235,-1.31,Sell,438112,200461905,,-0.537,11,Finance
MLR,31.16,-0.669,-0.21,Buy,885418,355379800,11.437,2.721,1310,Producer Manufacturing
MLSS,1.38,-8,-0.12,Buy,3150898,90899220,,-0.206,16,Health Technology
MLVF,11.85,-4.049,-0.5,Sell,55862,87872893,13.353,0.896,,Finance
MMAC,23.44,-0.17,-0.04,Sell,161409,133709026,1.917,11.97,,Miscellaneous
MMC,114.54,-0.322,-0.37,Buy,30390075,58017831660,29.38,3.998,76000,Finance
MMI,26.22,-7.054,-1.99,Sell,3004636,1031180160,19.398,1.347,877,Finance
MMLP,1.2,-20.53,-0.31,Sell,5331763,46623000,1.918,0.667,1292,Industrial Services
MMM,159.51,-2.153,-3.51,Sell,45289566,91880950200,18.404,8.903,96163,Producer Manufacturing
MMP,34.23,-9.945,-3.78,Sell,18660700,7703666880,8.291,4.304,1884,Industrial Services
MMS,66.6,-14.12,-10.95,Sell,5685428,4083419160,20.773,3.317,29600,Commercial Services
MMSI,40.13,-18.269,-8.97,Sell,8810807,2226580946,,-0.539,6355,Health Technology
MMX,4.87,14.319,0.61,Buy,5533423,624027190,,-0.051,9,Non-Energy Minerals
MMYT,17.14,1.54,0.26,Sell,6466293,1769787461,,-4.158,3960,Consumer Services
MN,4.05,-5.374,-0.23,Buy,693777,65915370,55.267,0.182,307,Finance
MNCL,10.2,-0.778,-0.08,Buy,6011421,227256000,,,3,Finance
MNDO,2.34,1.739,0.04,Buy,451181,46561320,9.134,0.257,240,Commercial Services
MNK,1.07,-32.278,-0.51,Sell,62127798,90510230,,-25.411,3400,Health Technology
MNKD,1.87,7.471,0.13,Buy,38685057,428557250,,-0.213,233,Health Technology
MNOV,5.99,14.313,0.75,Sell,19244470,265793671,,-0.263,8,Health Technology
MNPR,4.975,-11.947,-0.68,Strong Sell,509259,53413590,,-0.422,7,Health Technology
MNRL,8.5,-28.027,-3.31,Sell,12635748,343515600,24.782,0.368,41,Miscellaneous
MNRO,41.35,-10.284,-4.74,Sell,5957252,1376371965,37.521,1.141,8184,Retail Trade
MNSB,12.02,-6.24,-0.8,Buy,136125,99380278,10.083,1.223,126,Finance
MNST,77.79,-7.238,-6.07,Buy,36742809,41026134840,37.424,2.135,3529,Consumer Non-Durables
MNTA,52.29,0.23,0.12,Buy,61806627,6220679850,,-2.124,118,Health Technology
MNTX,4.15,-7.982,-0.36,Sell,254005,82035125,,-1.156,598,Producer Manufacturing
MO,37.93,-13.283,-5.81,Sell,165717010,70489112000,,-0.494,7300,Consumer Non-Durables
MOBL,5.56,-14.855,-0.97,Buy,12004319,649875040,,-0.329,870,Technology Services
MOD,5.78,-14.623,-0.99,Strong Sell,4774317,295633128,,-0.37,11300,Producer Manufacturing
MODN,34.82,-11.445,-4.5,Buy,5626384,1202912612,,-0.469,733,Technology Services
MOFG,16.8,-11.532,-2.19,Sell,780902,270468240,7.915,2.192,771,Finance
MOG.A,60.84,0.912,0.55,Sell,3462441,1990556428,16.222,3.869,12809,Electronic Technology
MOG.B,65.2944,-1.589,-1.05,Sell,1384,2136294997,17.993,3.869,12809,Electronic Technology
MOGO,1.51,-12.717,-0.22,Strong Sell,2464362,43560480,,-0.635,258,Finance
MOH,153.07,-17.246,-31.9,Buy,7232373,9077051000,12.032,13.19,10000,Health Services
MORF,24.95,-5.849,-1.55,Buy,919450,764917100,,,76,Health Technology
MORN,153.58,-4.102,-6.57,Buy,1596121,6591837896,44.981,3.473,6737,Finance
MOS,18.26,0.165,0.03,Sell,87059485,6922183400,,-2.957,12600,Process Industries
MOSY,1.52,-5.59,-0.09,Sell,1083698,5375495,,-2.073,23,Electronic Technology
MOTS,0.9999,-6.551,-0.07,Sell,1540211,32148485,,-0.766,49,Health Technology
MOV,10.64,-2.475,-0.27,Sell,4557416,246648479,,-5.846,1145,Consumer Durables
MOXC,1.41,-37.054,-0.83,Sell,5838365,22830015,63.941,0.027,9,Technology Services
MPAA,15.15,-12.981,-2.26,Sell,1602280,288162090,,-0.218,4012,Producer Manufacturing
MPB,17.6,-8.524,-1.64,Sell,153224,148202912,7.775,2.347,444,Finance
MPC,28.73,-18.979,-6.73,Sell,128154204,18694496080,,-11.883,60910,Energy Minerals
MPLX,15.89,-13.027,-2.38,Strong Sell,48669741,16823537500,,-1.984,6200,Industrial Services
MPWR,252.06,-5.641,-15.07,Buy,5963046,11405207220,91.606,2.905,2002,Electronic Technology
MPX,15.78,9.204,1.33,Strong Buy,2571490,536029242,33.136,0.507,673,Consumer Durables
MR,4.65,-9.884,-0.51,Sell,8792430,167499975,,-1.328,236,Energy Minerals
MRAM,5.33,-8.262,-0.48,Sell,1998786,100994972,,-0.551,88,Electronic Technology
MRBK,14.22,-3.067,-0.45,Sell,394195,86671327,6.336,2.339,,Finance
MRC,5.05,-11.248,-0.64,Sell,16632315,414441380,,-3.649,3200,Distribution Services
MRCC,6.78,-3.143,-0.22,Sell,2050618,144437730,,-0.732,,Finance
MRCY,76.99,1.65,1.25,Buy,5721748,4311486194,49.395,1.571,1947,Electronic Technology
MRIN,1.3,-4.412,-0.06,Sell,566432,9051900,,-1.658,229,Technology Services
MRK,82.63,-3.096,-2.64,Buy,141800292,2.08991E+11,20.191,4.123,71000,Health Technology
MRKR,1.55,-13.889,-0.25,Strong Sell,3803575,72257280,,-0.508,28,Consumer Services
MRLN,6.91,3.134,0.21,Sell,1271521,82512310,,-0.192,348,Finance
MRNA,67.16,3.498,2.27,Buy,161250680,26500462920,,-1.403,830,Health Technology
MRNS,12.01,54.768,4.25,Buy,56111971,366890488,,-3.951,40,Health Technology
MRO,4.21,-20.265,-1.07,Sell,442863798,3323538190,,-0.827,2000,Energy Minerals
MRSN,18.98,-0.939,-0.18,Buy,28704918,1298518598,,-1.369,83,Health Technology
MRTN,15.81,-12.941,-2.35,Buy,5973703,1306900449,13.795,1.171,4179,Transportation
MRTX,159.49,6.775,10.12,Buy,9499727,7103796243,,-7.13,111,Health Technology
MRUS,11.82,-2.071,-0.25,Sell,1859437,343454922,,,,Health Technology
MRVL,37.57,-3.12,-1.21,Buy,126382914,25177911200,18.566,2.133,5633,Electronic Technology
MS,46.42,-11.175,-5.84,Buy,146664483,73193199200,8.605,5.61,60431,Finance
MSA,130.74,3.803,4.79,Buy,2363486,5083641864,33.992,3.945,4800,Consumer Durables
MSBI,12.62,-13.621,-1.99,Sell,2218668,285813974,8.09,1.627,1100,Finance
MSCI,345.46,-7.45,-27.81,Buy,8603899,28893307112,57.272,6.185,3396,Technology Services
MSEX,59.64,-7.001,-4.49,Sell,807469,1041600672,29.18,2.121,352,Utilities
MSFT,200.59,-11.058,-24.94,Buy,617568855,1.51799E+12,36.012,5.821,163000,Technology Services
MSGE,69.45,-7.609,-5.72,,2532167,1668494580,,,7600,Consumer Services
MSGN,9.38,-3.696,-0.36,Sell,8946020,531950118,3.273,2.986,700,Consumer Services
MSGS,144.31,-12.006,-19.69,Sell,4113371,3463281259,,-7.605,880,Consumer Services
MSI,152.2,-1.648,-2.55,Buy,17420282,25841581400,32.76,4.978,17000,Electronic Technology
MSM,60.65,-7.967,-5.25,Sell,7383869,3370948591,13.042,4.789,6700,Distribution Services
MSN,0.662,-9.932,-0.07,Sell,573857,13930267,,-0.211,22,Consumer Durables
MSON,11.37,-13.798,-1.82,Sell,1678627,197544654,,-0.986,254,Health Technology
MSTR,148.28,2.659,3.84,Buy,2563928,1439561552,60.841,2.552,2396,Technology Services
MSVB,12.9,2.3,0.29,Buy,182363,,,,,Finance
MT,12.1,-3.662,-0.46,Sell,64485248,12246117156,,-4.008,191248,Non-Energy Minerals
MTA,7.51,-17.744,-1.62,Buy,5284164,283265935,,-0.123,,Commercial Services
MTB,90.86,-12.009,-12.4,Sell,15197868,11657136836,8.671,10.742,17503,Finance
MTBC,8.6,-10.136,-0.97,Buy,2543929,109221720,,-1.332,2700,Technology Services
MTC,0.877,-5.699,-0.05,Sell,2159158,17601390,,-0.108,,Technology Services
MTCH,102.89,-7.871,-8.79,Buy,48861251,,54.888,2.033,1700,Technology Services
MTCR,10.1,,,,4251058,261807150,,,,Health Technology
MTD,957.14,-1.405,-13.64,Buy,1635931,22943890082,44.241,22.605,16200,Health Technology
MTDR,8.07,-17.061,-1.66,Sell,43924625,942898800,,-1.384,304,Energy Minerals
MTEM,9.995,-13.91,-1.62,Sell,8357037,498943403,,-2.592,168,Health Technology
MTEX,17,-9.671,-1.82,Buy,68428,35721080,8.9,1.902,215,Health Technology
MTG,8.46,-7.743,-0.71,Sell,70191517,2864336040,6.108,1.488,724,Finance
MTH,101.59,5.79,5.56,Buy,6550904,3820139565,12.415,8.812,1510,Consumer Durables
MTN,228.63,5.035,10.96,Buy,7979473,9185484606,57.431,4.05,39000,Consumer Services
MTNB,0.7929,1.381,0.01,Sell,28744306,157686402,,-0.121,21,Health Technology
MTOR,19.9,-12.566,-2.86,Sell,8730594,1438770000,5.509,3.811,9100,Producer Manufacturing
MTRN,50,-8.408,-4.59,Sell,1906767,1016110000,48.101,1.069,2600,Non-Energy Minerals
MTRX,7.8,-15.584,-1.44,Sell,3002609,206389560,,-1.238,2900,Industrial Services
MTSC,19.12,-21.639,-5.28,Sell,2522277,368566680,28.842,0.7,3500,Electronic Technology
MTSI,31.69,-11.058,-3.94,Buy,9197553,2119595157,,-0.833,1100,Electronic Technology
MTSL,1.16,-16.547,-0.23,Sell,2546685,5118396,,-0.016,34,Technology Services
MTW,7.98,-15.287,-1.44,Sell,6426523,275478378,45.576,0.182,4900,Producer Manufacturing
MTX,47.86,-5.695,-2.89,Sell,2175397,1632959270,14.023,3.463,3628,Process Industries
MTZ,41.71,-9.738,-4.5,Sell,12041372,3078957122,9.734,4.325,,Industrial Services
MU,49.85,9.536,4.34,Buy,312610738,55383350000,24.949,2.039,37000,Electronic Technology
MUR,8.71,-36.608,-5.03,Sell,111477714,1337847290,6.369,1.546,822,Energy Minerals
MUSA,134.25,-0.452,-0.61,Buy,4726100,3917092800,10.949,12.503,9900,Retail Trade
MUX,0.9806,-22.175,-0.28,Sell,88622881,394681694,,-0.395,448,Non-Energy Minerals
MVBF,15.1,6.338,0.9,Sell,438248,180669990,6.952,2.271,443,Finance
MVC,7.74,-4.68,-0.38,Sell,551811,137192274,,-1.997,,Finance
MVIS,1.86,17.722,0.28,Buy,74121803,267572160,,-0.136,30,Electronic Technology
MWA,10.33,-4.352,-0.47,Sell,13582888,1630239280,19.926,0.542,3100,Producer Manufacturing
MWK,7.72,-4.455,-0.36,Buy,3008133,163048716,,-3.228,144,Technology Services
MX,13.36,11.333,1.36,Buy,6236830,469740272,23.334,0.777,2451,Electronic Technology
MXC,4.07,-19.724,-1,Buy,984354,8303492,,-0.169,6,Energy Minerals
MXIM,64.6,-5.611,-3.84,Buy,62378234,17246714200,27.315,2.433,7115,Electronic Technology
MXL,22.44,-7.844,-1.91,Buy,8425088,1658758068,,-0.694,697,Electronic Technology
MYE,12.77,-16.536,-2.53,Sell,2687830,457099596,13.424,1.01,1780,Process Industries
MYFW,12.05,-11.07,-1.5,Sell,160601,95818588,6.404,1.902,,Finance
MYGN,12.05,-9.873,-1.32,Sell,12223739,900247065,,-2.68,2700,Health Technology
MYL,14.37,-12.271,-2.01,Sell,99337851,7428528390,28.293,0.524,35000,Health Technology
MYO,4.3,13.456,0.51,Sell,56529902,15788697,,-13.319,50,Distribution Services
MYOK,129.39,18.229,19.95,Buy,8143273,6858071109,,-7.119,235,Health Technology
MYOS,1.39,4.511,0.06,Buy,1663435,16467052,,-0.387,15,Health Technology
MYOV,21.82,7.066,1.44,Strong Buy,13448054,1967057726,,-2.854,214,Health Technology
MYRG,35.6,-8.271,-3.21,Buy,1168705,594836840,12.639,2.792,7100,Industrial Services
MYSZ,0.9548,-9.925,-0.11,Sell,1970706,6905916,,-11.834,27,Technology Services
MYT,1.66,-8.287,-0.15,Strong Sell,25431266,13187389,,-1.339,65,Process Industries
NAII,7.4,-7.5,-0.6,Sell,177331,48262208,,-0.254,184,Health Technology
NAK,1.01,-3.81,-0.04,Buy,233152706,511659940,,-0.109,,Non-Energy Minerals
NAKD,0.1245,-52.115,-0.14,Sell,287132862,5416460,,-38.5,577,Consumer Non-Durables
NAOV,1.05,54.525,0.37,Sell,233127260,14943959,,-0.574,10,Health Technology
NARI,65.41,-18.176,-14.53,,5823589,3173889430,,-0.056,199,Health Technology
NAT,3.52,-19.266,-0.84,Sell,50009969,526908800,6.261,0.592,20,Transportation
NATH,51.36,-2.078,-1.09,Sell,115998,211331506,18.197,2.883,120,Consumer Services
NATI,34.73,-3.232,-1.16,Sell,14364737,4564772280,18.052,1.94,7300,Technology Services
NATR,10.98,-0.543,-0.06,Strong Buy,902964,214228584,20.357,0.567,834,Consumer Non-Durables
NAV,42.86,34.021,10.88,Buy,25167776,4264930024,,-0.088,13300,Producer Manufacturing
NAVB,2.75,-7.407,-0.22,Buy,1981407,72372850,,-0.56,17,Health Technology
NAVI,7.53,-17.162,-1.56,Sell,47238782,1460270310,5.168,1.549,5800,Finance
NBAC,9.94,0.404,0.04,,93397,74152400,,-0.141,,Finance
NBEV,1.6,-26.267,-0.57,Sell,26592080,156352160,,-1.206,934,Consumer Non-Durables
NBHC,24.44,-14.065,-4,Sell,2095665,747106360,10.488,2.396,1229,Finance
NBIX,99.37,-14.645,-17.05,Buy,14863726,9266739413,47.455,2.214,700,Health Technology
NBL,8.5,-14.573,-1.45,Sell,333000511,4119525000,,-11.613,2282,Energy Minerals
NBLX,6.83,-23.772,-2.13,Strong Sell,5305842,617227100,3.486,2.178,240,Industrial Services
NBN,17.53,-6.056,-1.13,Sell,564848,158498073,6.825,2.62,182,Finance
NBR,23.51,-41.196,-16.47,Sell,7145493,171524023,,-135.783,14000,Industrial Services
NBRV,0.56,-9.59,-0.06,Sell,27218202,80614800,,-0.907,162,Health Technology
NBSE,8.23,2.491,0.2,Buy,4767549,190297352,,-2.837,9,Health Technology
NBTB,26.43,-13.259,-4.04,Sell,2624090,1152646659,12.375,2.203,1788,Finance
NBY,0.740165,-18.331,-0.17,Sell,14479227,30894413,,-0.342,28,Health Technology
NC,18.51,-9.707,-1.99,Sell,326730,130171760,4.501,4.124,2400,Energy Minerals
NCBS,53.72,-10.497,-6.3,Sell,493528,559638844,11.358,4.967,575,Finance
NCLH,15.17,-11.338,-1.94,Sell,457722415,4181140230,,-9.12,36000,Consumer Services
NCMI,2.7,-25.208,-0.91,Sell,22820168,214948350,20.74,0.141,531,Commercial Services
NCNO,82.19,-11.576,-10.76,,9646687,7491618500,,-0.389,877,Technology Services
NCR,18.74,-8.317,-1.7,Sell,17424978,2406216000,6.343,3.357,36000,Electronic Technology
NCSM,0.5943,-4.33,-0.03,Sell,712931,28039133,,-1.25,395,Industrial Services
NDAQ,119.73,-10.928,-14.69,Buy,12004381,19666610340,25.813,4.841,4361,Finance
NDLS,7.41,-2.628,-0.2,Buy,4878031,328669068,,-0.368,8900,Consumer Services
NDRA,0.7398,-9.78,-0.08,Sell,1596158,15506948,,-2.137,15,Health Technology
NDSN,182.78,-1.989,-3.71,Buy,3913443,10607545910,32.528,5.793,7579,Producer Manufacturing
NEE,273.31,-2.099,-5.86,Buy,32363855,1.33826E+11,38.411,7.282,13900,Utilities
NEM,60.22,-10.493,-7.06,Buy,107327540,48360935620,13.268,4.794,31600,Non-Energy Minerals
NEN,48.3825,-3.235,-1.62,Sell,25220,141395062,29.127,1.671,,Finance
NEO,34.54,-11.322,-4.41,Buy,11294426,3814286740,,-0.049,1700,Health Services
NEOG,74.7,-1.969,-1.5,Buy,3516224,3961430640,68.702,1.147,1764,Health Technology
NEON,7.39,-26.026,-2.6,Buy,1840061,79686370,,-0.676,60,Technology Services
NEOS,0.585,-14.661,-0.1,Sell,2538965,29106734,,-0.382,213,Health Technology
NEP,56.27,-6.714,-4.05,Buy,10787223,3687339338,,-3.333,,Utilities
NEPH,5.9,-11.94,-0.8,Sell,234280,53334053,,-0.456,25,Health Technology
NEPT,2.17,-21.091,-0.58,Sell,8788734,242113410,,-0.508,165,Health Technology
NERV,3.2,0.629,0.02,Sell,12546182,131855680,,-0.686,13,Health Technology
NES,2.89,45.96,0.91,Sell,948031,45582236,,-4.663,700,Utilities
NESR,6.63,-12.069,-0.91,Sell,2288776,580093176,16.329,0.42,4536,Industrial Services
NET,39.98,4.496,1.72,Strong Buy,98418430,12222913526,,-0.43,1270,Technology Services
NETE,6.47,-3.144,-0.21,Buy,6110638,29740714,,-1.332,82,Technology Services
NEU,344.29,-7.571,-28.2,Sell,689845,3761023960,17.335,20.247,2118,Process Industries
NEWA,3.4387,-8.788,-0.33,Sell,19358,37168908,9.225,0.399,170,Producer Manufacturing
NEWR,54.57,-11.167,-6.86,Sell,13737113,3287515080,,-1.75,2131,Technology Services
NEWT,17.96,-5.124,-0.97,Sell,2998842,380455660,,2.062,109,Commercial Services
NEX,1.68,-33.333,-0.84,Sell,24217673,360072720,,-1.298,6525,Industrial Services
NEXA,6.01,-23.342,-1.83,Sell,683383,801259210,,-5.539,,Non-Energy Minerals
NEXT,2.98,124.06,1.65,Sell,29561702,359548920,,-0.321,74,Energy Minerals
NFBK,8.77,-9.213,-0.89,Sell,4651659,465915020,10.912,0.826,380,Finance
NFE,35.78,33.657,9.01,Buy,17368265,6036300680,,-3.314,201,Industrial Services
NFG,40.61,-11.021,-5.03,Sell,8154193,3693654123,52.427,0.794,2107,Energy Minerals
NFH,7.51,-3.718,-0.29,Sell,1433932,1276283195,,,6850,Finance
NFIN,10.34,-1.711,-0.18,Strong Buy,5918937,268643540,122.695,0.085,3,Finance
NFLX,470.61,-11.132,-58.95,Buy,98365061,2.07546E+11,82.867,6.106,8600,Consumer Services
NG,10.6,0.094,0.01,Buy,38343364,3493738800,,-0.088,12,Non-Energy Minerals
NGD,1.62,-2.994,-0.05,Buy,167165163,1095120000,,-0.149,,Non-Energy Minerals
NGHC,33.87,-0.529,-0.18,Buy,8287942,3841298310,9.509,3.633,9200,Finance
NGL,3.5,-20.091,-0.88,Sell,11790844,450702000,,-4.076,1400,Industrial Services
NGM,15.59,-16.408,-3.06,Sell,3400131,1073023843,,-1.064,186,Health Technology
NGS,8.2,0.244,0.02,Sell,1183116,110426120,,-0.803,270,Industrial Services
NGVC,9.48,-19.113,-2.24,Sell,2605476,213530364,12.553,0.784,3681,Retail Trade
NGVT,48.91,-12.925,-7.26,Sell,4374449,2018789596,12.411,4.052,1850,Process Industries
NH,2.1,-33.962,-1.08,Sell,5817576,233150400,,-0.773,,Technology Services
NHC,59.22,-7.033,-4.48,Sell,681974,909471150,27.047,2.27,14881,Health Services
NHIC,9.73,,,,203751,,,,,Finance
NHLD,2.2285,1.758,0.04,Sell,86983,30273281,,-0.247,970,Finance
NHTC,5.84,12.092,0.63,Sell,526577,66710320,,-0.44,152,Consumer Non-Durables
NI,21.61,-2.482,-0.55,Strong Sell,55092134,8277127030,,-0.307,8363,Utilities
NICK,7.14,-11.304,-0.91,Sell,84176,55692000,13.829,0.547,260,Finance
NINE,1.22,-10.949,-0.15,Strong Sell,4053654,38603972,,-19.246,1469,Industrial Services
NJR,26.28,-12.807,-3.86,Sell,9247129,2521045656,14.988,1.815,1108,Utilities
NK,7,-4.11,-0.3,Buy,20351057,755790000,,-0.708,148,Health Technology
NKE,127.11,13.603,15.22,Buy,146513430,1.98275E+11,69.827,1.723,75400,Consumer Non-Durables
NKLA,21.15,-48.174,-19.66,Sell,811792553,8015448150,,-0.299,256,Consumer Durables
NKSH,23.73,-4.43,-1.1,Sell,182352,154007700,10,2.463,,Finance
NKTR,18.91,-2.223,-0.43,Sell,17934853,3382999000,,-2.431,723,Health Technology
NKTX,32.35,31.291,7.71,,5676387,1057016840,,,,Health Technology
NL,3.95,12.857,0.45,Neutral,758247,192716550,18.154,0.231,547,Producer Manufacturing
NLOK,20.33,-13.563,-3.19,Buy,123818893,12015090990,4.168,5.28,3600,Technology Services
NLS,16.38,38.228,4.53,Buy,61870632,490861098,,-0.322,434,Consumer Durables
NLSN,13.55,-11.322,-1.73,Sell,58776466,4834016700,,-1.767,46000,Commercial Services
NLTX,11.41,-10.228,-1.3,Buy,3402823,476356090,,-2.861,36,Health Technology
NM,1.74,-8.901,-0.17,Sell,339277,27634158,,,401,Transportation
NMCI,0.97,20.347,0.16,Sell,7400373,33565007,3.175,0.286,,Transportation
NMIH,16.41,-4.315,-0.74,Sell,14995257,1391653332,6.81,2.685,321,Finance
NMM,5.72,-9.062,-0.57,Sell,1327970,62851360,,-6.48,,Transportation
NMRD,3.55,-5.08,-0.19,Sell,871890,81272635,,-0.193,17,Health Technology
NMRK,4.09,-7.675,-0.34,Sell,19661867,733159220,9.843,0.423,5600,Finance
NMTR,0.7301,11.979,0.08,Sell,56503785,101435713,,-1.138,8,Health Technology
NNA,3.96,-30.648,-1.75,Sell,4468883,63110124,,-1.728,,Transportation
NNBR,5.2,14.286,0.65,Sell,4727024,222284920,,-6.877,5418,Producer Manufacturing
NNI,59.48,-9.177,-6.01,Buy,1364502,2279535847,19.965,3.045,6600,Finance
NNOX,29.31,6.35,1.75,,105321674,1311769050,,,20,Health Technology
NNVC,3.92,-1.259,-0.05,Sell,29792884,41768384,,-2.722,17,Health Technology
NOA,6.69,-6.171,-0.44,Sell,1144308,192691401,5.797,1.336,1924,Industrial Services
NOC,328.06,-4.247,-14.55,Buy,9929841,54692194840,23.41,14.278,90000,Electronic Technology
NODK,14.72,-9.804,-1.6,Sell,399439,316069312,12.894,1.154,186,Finance
NOG,5.3,-21.887,-1.49,Strong Sell,10497871,,,,,Energy Minerals
NOMD,24.71,0.203,0.05,Buy,32698912,4898238590,23.454,1.087,4775,Consumer Non-Durables
NOV,10.4,-13.333,-1.6,Sell,80426039,4038153600,,-7.233,35479,Industrial Services
NOVA,25.89,9.148,2.17,Sell,24763283,2201395632,,-1.973,324,Distribution Services
NOVN,0.5252,15.049,0.07,Sell,211351855,72198194,,-0.48,42,Health Technology
NOVS,10.055,1.978,0.2,,854579,,,,,Finance
NOVT,100.74,-6,-6.43,Buy,2538480,3541565070,87.922,1.189,2290,Electronic Technology
